Country,Date,Forecasted_Projected_Annual_Budget
Argentina,2025-01-31,2469450.397537419
Argentina,2025-02-28,2491141.422267452
Argentina,2025-03-31,2541785.529155283
Argentina,2025-04-30,2661646.2017868627
Argentina,2025-05-31,2663299.2208951865
Argentina,2025-06-30,2455683.2510372763
Argentina,2025-07-31,2637741.047937426
Argentina,2025-08-31,2467945.7249705233
Argentina,2025-09-30,2468057.4600208215
Argentina,2025-10-31,3111235.6939348853
Argentina,2025-11-30,3101694.654772941
Argentina,2025-12-31,3025077.7047859295
Australia,2025-01-31,33393319.213426016
Australia,2025-02-28,31657990.27487466
Australia,2025-03-31,33019558.3546329
Australia,2025-04-30,32951203.034426223
Australia,2025-05-31,32851802.96412848
Australia,2025-06-30,31225324.336598773
Australia,2025-07-31,31082686.025999676
Australia,2025-08-31,31273582.038259037
Australia,2025-09-30,34470230.23612924
Australia,2025-10-31,41131120.51959799
Australia,2025-11-30,44155571.640126884
Australia,2025-12-31,39448770.243572064
Brazil,2025-01-31,61365678.89058244
Brazil,2025-02-28,61110315.536014855
Brazil,2025-03-31,62949291.46344483
Brazil,2025-04-30,61683946.66717254
Brazil,2025-05-31,62274658.353542745
Brazil,2025-06-30,57149977.388666764
Brazil,2025-07-31,58509487.61378495
Brazil,2025-08-31,58995295.32097673
Brazil,2025-09-30,63534576.996749915
Brazil,2025-10-31,74674933.6718552
Brazil,2025-11-30,73699284.83812095
Brazil,2025-12-31,70799180.31329238
Canada,2025-01-31,55144803.65750035
Canada,2025-02-28,53677864.83018993
Canada,2025-03-31,62319008.50429163
Canada,2025-04-30,58140678.59056309
Canada,2025-05-31,58879257.68646711
Canada,2025-06-30,60706359.88412228
Canada,2025-07-31,57343845.71216317
Canada,2025-08-31,54690727.57067598
Canada,2025-09-30,57744833.38273439
Canada,2025-10-31,69458997.32129814
Canada,2025-11-30,72718557.03485388
Canada,2025-12-31,68674582.54453763
China,2025-01-31,81611256.42953667
China,2025-02-28,81158952.37653165
China,2025-03-31,80768599.50217989
China,2025-04-30,80321569.02185611
China,2025-05-31,80457333.77972904
China,2025-06-30,75960744.79991275
China,2025-07-31,78269288.71590254
China,2025-08-31,74866675.44684535
China,2025-09-30,83704768.15695958
China,2025-10-31,104143156.37794167
China,2025-11-30,105433627.83894445
China,2025-12-31,100514450.98167947
France,2025-01-31,43357320.877938785
France,2025-02-28,42722576.22956683
France,2025-03-31,45717083.59401306
France,2025-04-30,46116831.38248113
France,2025-05-31,44290750.11179451
France,2025-06-30,43856070.400607415
France,2025-07-31,43249832.70580753
France,2025-08-31,42374919.68102042
France,2025-09-30,44930592.253067024
France,2025-10-31,51734621.97153691
France,2025-11-30,50875747.11966283
France,2025-12-31,49827897.21741759
Germany,2025-01-31,66152496.71822255
Germany,2025-02-28,63101651.96917944
Germany,2025-03-31,64356041.13851581
Germany,2025-04-30,66292978.03867517
Germany,2025-05-31,64980418.406982124
Germany,2025-06-30,61274984.11250194
Germany,2025-07-31,63025304.85691822
Germany,2025-08-31,61899524.73981638
Germany,2025-09-30,69713985.3779858
Germany,2025-10-31,84936254.12846798
Germany,2025-11-30,87677289.63691019
Germany,2025-12-31,80973493.59260291
India,2025-01-31,113141633.01024464
India,2025-02-28,112949941.22593713
India,2025-03-31,120657894.93409935
India,2025-04-30,115711121.18442228
India,2025-05-31,112808120.85061963
India,2025-06-30,111712757.89744216
India,2025-07-31,111581168.96437699
India,2025-08-31,108579612.64187029
India,2025-09-30,116701345.73090854
India,2025-10-31,137149205.68778133
India,2025-11-30,146357586.87452376
India,2025-12-31,133409434.39545229
Indonesia,2025-01-31,8215212.23971184
Indonesia,2025-02-28,7849977.037223939
Indonesia,2025-03-31,7879835.443137767
Indonesia,2025-04-30,7779716.202488685
Indonesia,2025-05-31,8219710.33018739
Indonesia,2025-06-30,7481445.17706943
Indonesia,2025-07-31,7821901.510165199
Indonesia,2025-08-31,8023942.218362317
Indonesia,2025-09-30,8214226.513453152
Indonesia,2025-10-31,9388785.245309377
Indonesia,2025-11-30,9797875.826908339
Indonesia,2025-12-31,9182233.190714948
Italy,2025-01-31,26430004.29185045
Italy,2025-02-28,26127331.853327595
Italy,2025-03-31,26715872.920100152
Italy,2025-04-30,26248768.77232587
Italy,2025-05-31,25481645.852942247
Italy,2025-06-30,24346882.44245201
Italy,2025-07-31,26346375.35978431
Italy,2025-08-31,25338071.738358893
Italy,2025-09-30,26763393.526709232
Italy,2025-10-31,34301698.02223557
Italy,2025-11-30,33945152.00763779
Italy,2025-12-31,32159917.963796508
Japan,2025-01-31,58490628.23524383
Japan,2025-02-28,55875773.94514355
Japan,2025-03-31,61664631.788905844
Japan,2025-04-30,59194755.26072495
Japan,2025-05-31,57659560.37517786
Japan,2025-06-30,57694600.679618716
Japan,2025-07-31,57119372.72028388
Japan,2025-08-31,54505821.01333247
Japan,2025-09-30,58905576.596399695
Japan,2025-10-31,71629546.69122128
Japan,2025-11-30,76016161.24112117
Japan,2025-12-31,69946759.98259391
Mexico,2025-01-31,20906343.212896228
Mexico,2025-02-28,19836230.65253476
Mexico,2025-03-31,22327642.648610897
Mexico,2025-04-30,20861210.458638757
Mexico,2025-05-31,21351519.13385522
Mexico,2025-06-30,20921925.79313516
Mexico,2025-07-31,19734951.61408129
Mexico,2025-08-31,19069911.18639837
Mexico,2025-09-30,21564009.172703274
Mexico,2025-10-31,26093155.20652232
Mexico,2025-11-30,27812002.733739607
Mexico,2025-12-31,24570382.827228114
Poland,2025-01-31,7314679.507507801
Poland,2025-02-28,7456787.499968046
Poland,2025-03-31,7096421.767657487
Poland,2025-04-30,7293060.787882296
Poland,2025-05-31,7286943.1062081
Poland,2025-06-30,6606813.646468486
Poland,2025-07-31,6680362.393328272
Poland,2025-08-31,7281079.629372771
Poland,2025-09-30,7192435.075577471
Poland,2025-10-31,8762169.21878932
Poland,2025-11-30,8399556.67014261
Poland,2025-12-31,8084645.801287547
South Africa,2025-01-31,4657606.674753271
South Africa,2025-02-28,5250502.038883565
South Africa,2025-03-31,5259805.072446666
South Africa,2025-04-30,5106391.632415165
South Africa,2025-05-31,5241014.4122061655
South Africa,2025-06-30,5010201.1748627415
South Africa,2025-07-31,4971181.584967533
South Africa,2025-08-31,4706756.632101718
South Africa,2025-09-30,5170370.489909424
South Africa,2025-10-31,6722841.244499005
South Africa,2025-11-30,6585329.171106298
South Africa,2025-12-31,5714499.122912665
South Korea,2025-01-31,20632606.052549623
South Korea,2025-02-28,19659188.820305116
South Korea,2025-03-31,20757641.2123055
South Korea,2025-04-30,20259797.37661105
South Korea,2025-05-31,20581338.873389672
South Korea,2025-06-30,19191350.462673247
South Korea,2025-07-31,20072612.762478534
South Korea,2025-08-31,18445840.436664514
South Korea,2025-09-30,20953331.97495241
South Korea,2025-10-31,26094325.9986857
South Korea,2025-11-30,26312625.659578234
South Korea,2025-12-31,24827798.05204659
Spain,2025-01-31,12762112.273560684
Spain,2025-02-28,12772382.871911727
Spain,2025-03-31,13555432.58599348
Spain,2025-04-30,13714785.935056936
Spain,2025-05-31,13835374.67337888
Spain,2025-06-30,13309158.838549811
Spain,2025-07-31,12372425.662705462
Spain,2025-08-31,12857761.541391104
Spain,2025-09-30,13742374.623127855
Spain,2025-10-31,17098466.57274088
Spain,2025-11-30,16600146.086527705
Spain,2025-12-31,16367256.972780269
Thailand,2025-01-31,1640354.5573096368
Thailand,2025-02-28,1682624.7194107831
Thailand,2025-03-31,1502226.5282924504
Thailand,2025-04-30,1306756.8159115345
Thailand,2025-05-31,1692528.7556743643
Thailand,2025-06-30,1202043.7158378074
Thailand,2025-07-31,1399172.3959523982
Thailand,2025-08-31,1154084.93134758
Thailand,2025-09-30,1656632.9667885548
Thailand,2025-10-31,2311742.596263631
Thailand,2025-11-30,2112710.4200038677
Thailand,2025-12-31,1880368.39155516
Turkey,2025-01-31,5296802.868721516
Turkey,2025-02-28,4980367.039125567
Turkey,2025-03-31,4997794.175782852
Turkey,2025-04-30,4853596.715658356
Turkey,2025-05-31,4973612.043326542
Turkey,2025-06-30,4600847.938586001
Turkey,2025-07-31,4851416.40774
Turkey,2025-08-31,4368967.815424594
Turkey,2025-09-30,5137040.226835131
Turkey,2025-10-31,6738600.440197729
Turkey,2025-11-30,6516939.772738998
Turkey,2025-12-31,6198308.7658957485
UAE,2025-01-31,566776.537286895
UAE,2025-02-28,627794.2439714009
UAE,2025-03-31,593581.8419133537
UAE,2025-04-30,574909.6612183433
UAE,2025-05-31,578590.882619537
UAE,2025-06-30,619510.8386074892
UAE,2025-07-31,592097.1040225833
UAE,2025-08-31,561834.4347425285
UAE,2025-09-30,717427.9332535253
UAE,2025-10-31,824206.663690081
UAE,2025-11-30,889529.9941150157
UAE,2025-12-31,747032.6181756611
UK,2025-01-31,76262419.45493424
UK,2025-02-28,73581144.66400479
UK,2025-03-31,77218222.47983995
UK,2025-04-30,75166857.30131814
UK,2025-05-31,73575567.75059325
UK,2025-06-30,72735889.44350474
UK,2025-07-31,74266926.39087652
UK,2025-08-31,72235246.30404018
UK,2025-09-30,77658681.0372916
UK,2025-10-31,93422980.24380998
UK,2025-11-30,95044029.28396827
UK,2025-12-31,90625943.9927946
USA,2025-01-31,197280710.18761066
USA,2025-02-28,196305055.644642
USA,2025-03-31,202437566.36426002
USA,2025-04-30,195910540.70937824
USA,2025-05-31,194081657.23326144
USA,2025-06-30,186158779.90096328
USA,2025-07-31,190314621.87572053
USA,2025-08-31,189314211.26401347
USA,2025-09-30,205858484.57554436
USA,2025-10-31,252108976.6067289
USA,2025-11-30,252039516.5584756
USA,2025-12-31,239245869.33797497
Vietnam,2025-01-31,13667720.026874151
Vietnam,2025-02-28,13387362.818652801
Vietnam,2025-03-31,14040242.580658963
Vietnam,2025-04-30,13977875.065510942
Vietnam,2025-05-31,13643232.65674141
Vietnam,2025-06-30,13820229.335909598
Vietnam,2025-07-31,13900394.751990248
Vietnam,2025-08-31,12027162.89893511
Vietnam,2025-09-30,14268555.441385148
Vietnam,2025-10-31,18142604.080177125
Vietnam,2025-11-30,17381040.506988965
Vietnam,2025-12-31,15324263.798740812
